first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
,18841000,,18841000,1,046,9,2001-04-28,1,330,70034322
,18700000,,18700000,1,007,9,1992-11-03,1,331,70034328
,18700000,,18700000,2,007,9,1992-11-03,1,332,70034329
,18980100,,18980100,1,048,9,2001-04-28,1,333,70034379
1899-08-12,18990812,1899-08-12,18990812,1,046,9,1983-03-01,1,334,70034385
1900-02-03,19000203,1900-02-03,19000203,6,046,6,1983-03-01,1,335,70034411
,18700000,,18700000,1,046,2,2015-03-06,1,336,70034413
,18951000,,18951000,1,011,9,1992-11-03,1,337,70034518
1899-05-01,18990501,1899-05-01,18990501,1,014,9,1992-11-03,1,338,70034562
,18060000,,18060000,1,017,9,2001-05-12,1,339,70034592
1900-01-25,19000125,1900-01-25,19000125,1,018,9,1992-11-03,1,340,70034631
,18850000,,18850000,1,039,9,1992-11-03,1,341,70034645
1876-01-01,18760101,1876-01-01,18760101,1,046,9,1992-11-03,1,342,70034668
1896-11-09,18961109,1896-11-09,18961109,1,018,9,1992-11-03,1,343,70034738
1897-06-30,18970630,1897-06-30,18970630,1,046,2,2021-10-15,1,344,70034777
1897-12-15,18971215,1897-12-15,18971215,1,036,9,1992-11-03,1,345,70034806
1895-11-01,18951101,1895-11-01,18951101,1,046,9,1992-11-03,1,346,70034870
,18990400,,18990400,1,018,9,1992-11-03,1,347,70034877
1899-11-01,18991101,1899-11-01,18991101,2,046,6,1983-03-01,1,348,70035072
,19000700,,19000700,1,004,9,1983-03-01,1,349,70035086
,18990500,,18990500,5,021,6,1983-03-01,1,350,70035089
1899-01-24,18990124,1899-01-24,18990124,1,046,2,2021-10-15,1,351,70035212
1900-01-01,19000101,1900-01-01,19000101,1,052,9,1992-11-03,1,352,70035228
1892-09-01,18920901,1892-09-01,18920901,2,046,9,1992-11-03,1,353,70035261
1897-08-01,18970801,1897-08-01,18970801,1,030,9,1992-11-03,1,354,70035326
1889-08-01,18890801,1889-08-01,18890801,1,044,9,1992-11-03,1,355,70035328
,18930100,,18930100,1,026,9,2001-12-15,1,356,70035513
,19000400,,19000400,1,046,9,2001-12-15,1,357,70035548
,18520000,,18520000,1,046,9,1992-11-03,1,358,70035568
1898-09-01,18980901,1898-09-01,18980901,1,012,9,1992-11-03,1,361,70035628
1900-03-15,19000315,1900-03-15,19000315,6,046,6,1983-03-01,1,362,70035662
1865-01-01,18650101,1865-01-01,18650101,1,046,9,2002-01-12,1,363,70035691
,18820000,,18820000,1,046,9,1992-11-03,1,364,70036058
1898-08-19,18980819,1898-08-19,18980819,1,046,9,1992-11-03,1,365,70036098
1897-09-01,18970901,1897-09-01,18970901,1,039,9,1992-11-03,1,366,70036151
1899-06-01,18990601,1899-06-01,18990601,1,046,9,1992-11-03,1,367,70036221
1900-12-03,19001203,1900-12-03,19001203,1,039,9,1992-11-03,1,368,70036244
1901-03-01,19010301,1901-03-01,19010301,1,046,9,1992-11-03,1,370,70036521
1886-02-09,18860209,1886-02-09,18860209,2,013,9,2002-07-06,1,371,70036653
1901-03-01,19010301,1901-03-01,19010301,1,006,9,1992-11-03,1,372,70036799
1901-01-01,19010101,1901-01-01,19010101,1,018,9,1992-05-05,1,373,70036846
,19010100,,19010100,1,029,6,1983-03-01,1,374,70036940
,0,,0,0,046,1,1982-07-06,1,375,70036940
1900-08-01,19000801,1900-08-01,19000801,1,046,9,2002-07-20,1,378,70037177
1901-02-15,19010215,1901-02-15,19010215,1,035,9,2002-08-24,1,379,70037332
1892-08-12,18920812,1892-08-12,18920812,1,052,9,1983-03-01,1,381,70037360
1901-08-01,19010801,1901-08-01,19010801,1,016,9,1992-11-03,1,382,70037362
1898-01-03,18980103,1898-01-03,18980103,1,004,2,2015-03-06,1,383,70037449
,18930900,,18930900,2,046,9,1983-03-01,1,384,70037555
1901-06-15,19010615,1901-06-15,19010615,1,046,9,1992-11-03,1,385,70037560
1897-01-12,18970112,1897-01-12,18970112,1,013,9,1992-11-03,1,386,70037630
,18560000,,18560000,1,008,9,1992-11-03,1,387,70037640
1894-10-27,18941027,1894-10-27,18941027,1,046,9,1992-11-23,1,388,70037807
,18990600,,18990600,1,048,9,1992-12-07,1,389,70037901
1902-01-01,19020101,1902-01-01,19020101,1,028,9,1993-02-15,1,390,70037939
1902-01-02,19020102,1902-01-02,19020102,1,016,9,2002-12-14,1,391,70037945
